"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Ecuador","ECU","Population ages 15-64, total","SP.POP.1564.TO","2369968","2430880","2495344","2566350","2644531","2727153","2812637","2901032","2992572","3087376","3185720","3288050","3394648","3505329","3619903","3738669","3862089","3990174","4122611","4259675","4401424","4547078","4696623","4850169","5007372","5167568","5330185","5495004","5660510","5825624","5990274","6152846","6309184","6459122","6607668","6757766","6909869","7063567","7218933","7377336","7540817","7711620","7890265","8075285","8263862","8454847","8649148","8845796","9042969","9240065","9437031","9634039","9830381","10024345","10218347","10417708","10624438","10842807","11112458","11388419","11602470","11792831","",
"Egypt, Arab Rep.","EGY","Population ages 15-64, total","SP.POP.1564.TO","14643042","15005302","15419983","15867380","16312546","16739825","17160357","17590037","18033946","18482921","18931898","19369646","19801354","20242055","20692056","21155378","21626163","22130982","22679618","23251916","23855816","24484737","25136337","25825705","26542087","27272716","28014169","28774054","29567103","30392066","31251661","32117973","32999829","33932654","34925008","35959072","37025853","38143745","39309297","40511297","41746557","43018921","44354895","45729935","47090940","48413679","49688626","50955602","52207378","53415035","54599324","55843737","57070924","58304092","59566999","60743290","61930648","63148640","64340136","65512638","66715543","67933197","",
"Euro area","EMU","Population ages 15-64, total","SP.POP.1564.TO","171725397","172538300","173666270","174940758","176106886","177153428","178067462","178805960","179572219","180427324","181126962","181948033","183117681","184357018","185618155","186938502","188305055","189667613","191148228","192846843","194931859","197343091","199697703","201879123","203719533","204954780","205890597","206808297","207724864","208771569","209820626","211069627","212153575","212958211","213531683","214030861","214547499","215039985","215435609","215817620","216196929","216648142","217385185","218328467","219230618","219925084","220556336","221509409","222336073","222560808","222649124","221602536","221238431","221048263","220829589","220653145","220542750","220257009","220081361","219656983","219335218","218869481","",
"Eritrea","ERI","Population ages 15-64, total","SP.POP.1564.TO","545055","559948","575237","590134","604878","618402","630560","643192","656384","670253","684927","700500","717024","734421","752445","770881","789907","809868","830754","852496","875280","899066","923456","948411","973690","998607","1023858","1048933","1073707","1097730","1119318","1060427","996502","1031544","1066096","1146041","1215780","1214515","1218735","1228123","1242029","1284633","1340694","1413373","1487572","1524177","1542864","1560614","1608887","1656963","1693784","1731378","1759434","1785807","1797287","1801414","1815669","1838000","1877723","1924325","1976297","2035003","",
"Spain","ESP","Population ages 15-64, total","SP.POP.1564.TO","19604291","19743442","19876289","20039064","20214758","20348305","20453024","20623889","20822941","20957879","21122528","21328613","21540919","21770233","22028162","22288226","22522057","22759256","23012613","23290437","23572727","23863568","24152308","24412498","24658317","24886096","25091112","25283637","25466728","25646385","25829081","26059081","26339989","26616496","26870866","27091869","27283087","27450907","27588928","27712698","27827997","27974777","28359843","28929865","29524610","30062646","30560758","31152612","31604262","31740573","31708922","31650627","31505596","31201239","30917313","30773032","30717059","30715847","30814187","31046581","31229056","31289751","",
"Estonia","EST","Population ages 15-64, total","SP.POP.1564.TO","803085","808961","819205","831018","844083","856448","866884","874639","881975","890508","899873","909669","918351","926781","935317","943400","950508","956987","962688","967216","972798","980688","989675","997821","1005999","1015612","1024623","1032108","1036795","1038442","1037406","1031355","1011356","984161","962564","945133","931727","922626","917466","929158","941321","937945","934061","930328","926719","922372","915462","908765","904893","901239","896373","889309","880189","870697","861707","856276","850822","846482","845484","844746","842292","840607","",
"Ethiopia","ETH","Population ages 15-64, total","SP.POP.1564.TO","11826165","12144912","12477627","12809039","13133531","13459816","13781672","14104331","14435141","14767157","15100792","15423891","15740383","16078968","16443052","16805064","17173530","17446044","17693256","17910396","17966905","18378871","19074192","19637495","20225974","20841055","21454424","22126207","22872103","23625179","24378488","25306664","26255130","27082543","27939064","28839954","29754494","30636014","31505992","32419918","33380131","34404804","35522706","36704384","37922984","39176833","40501323","41904878","43364378","44896266","46533575","48281304","50111192","51981291","53901969","55867552","57895064","59985968","62067687","64147672","66279326","68441736","",
"European Union","EUU","Population ages 15-64, total","SP.POP.1564.TO","230308848","231550518","233300631","235303277","237234494","238968573","240602120","242191941","243743407","245307483","246617020","247949371","249607021","251231644","252784100","254333439","255868164","257360740","258972222","260800567","263116737","265913899","268844484","271731007","274122067","275681403","276859230","278005756","279139808","280338828","281548033","282875635","284039358","285130960","286027658","286746168","287401800","288053966","288646207","289240599","289578916","289900669","290525958","291597767","292638187","293428478","294115951","294965559","295622072","295707222","295512777","294181012","293398670","292760515","292066884","291389290","290757408","289928981","289210989","288268343","287411729","286196159","",
"Fragile and conflict affected situations","FCS","Population ages 15-64, total","SP.POP.1564.TO","138920546","141437160","144142491","146886991","149738963","152666761","155662036","158763502","161922493","165164635","168501368","171905164","175337530","178923924","182778770","186785342","191022484","195293297","199567087","204050630","208446401","212684409","217240191","222063359","227065767","232245079","237397118","242590580","247796560","253352333","259940182","265845279","272644510","279963564","288215888","296508862","303523640","310473061","318043468","326153630","334298901","342544753","351450827","360657634","369853464","379387290","389233226","399018108","409128984","419824887","430786495","441712583","452761529","463915739","474889587","485933178","497465521","509387047","521537621","534394746","548193662","562343212","",
"Finland","FIN","Population ages 15-64, total","SP.POP.1564.TO","2758982","2800637","2847308","2893075","2929871","2957576","2983517","3013503","3041209","3050645","3050589","3070070","3103738","3132676","3156498","3174221","3185506","3195107","3207298","3220857","3236466","3257494","3281958","3304833","3325745","3338646","3342962","3345440","3344810","3346792","3355727","3369870","3384938","3396122","3403789","3409589","3416505","3426968","3441552","3455387","3464352","3471758","3478324","3483581","3488772","3499298","3507266","3518847","3536864","3547864","3549606","3539610","3524876","3508386","3491693","3475929","3463631","3451227","3437072","3426873","3419944","3417691","",
"Fiji","FJI","Population ages 15-64, total","SP.POP.1564.TO","199978","206397","213292","220636","228407","236097","243592","251115","258610","266333","274430","282833","291507","300352","309286","318314","327673","337819","348714","359787","370662","381351","391802","402107","412463","422549","431152","437946","443530","448421","453438","457126","460012","463772","467725","472034","478405","487425","497498","507598","517225","526193","534674","542849","550719","558393","565856","572639","578116","582368","585967","589081","591590","593436","594802","596070","597310","598217","598753","598992","600796","604407","",
"France","FRA","Population ages 15-64, total","SP.POP.1564.TO","28965834","29238690","29614124","30008256","30403202","30785218","31136220","31458818","31764862","32056417","32340743","32616494","32884589","33140342","33388573","33634646","33891698","34147892","34400960","34676025","35037746","35513684","36007853","36466611","36890957","37193165","37404486","37644930","37881863","38080277","38220053","38470417","38583290","38699432","38807704","38922858","39046559","39173831","39288628","39446754","39677855","39940381","40220123","40511430","40808634","41120722","41435583","41694810","41868249","41982175","42084351","42095743","42005760","41924226","41834284","41731092","41634728","41566422","41540363","41525825","41514540","41532807","",
"Faroe Islands","FRO","Population ages 15-64, total","SP.POP.1564.TO","20233","20557","20863","21171","21485","21792","22068","22304","22509","22693","22953","23301","23642","23966","24277","24581","24898","25252","25679","26153","26624","27107","27607","28086","28513","28886","29239","29608","29984","30360","30280","29690","29019","28305","27589","27359","27616","27865","28083","28296","28615","29046","29479","29928","30439","30793","30920","30958","30891","30780","30699","30642","30562","30408","30189","30271","30625","31006","31434","31836","32241","32489","",
"Micronesia, Fed. Sts.","FSM","Population ages 15-64, total","SP.POP.1564.TO","22350","23027","23723","24355","24929","25612","26403","27177","27943","28743","29573","30313","30964","31656","32394","33223","34131","35070","36091","37201","38356","39560","40818","42137","43524","44976","46491","48055","49355","50386","51466","52617","54043","55758","57461","58767","59715","60612","61481","62324","63143","63858","64366","64672","64887","65076","65225","65357","65443","65452","65889","66564","67077","67657","68223","68764","69226","69629","70036","70378","70947","71749","",
"Gabon","GAB","Population ages 15-64, total","SP.POP.1564.TO","312335","313976","315829","317727","319742","322164","324895","327788","330871","335303","340793","345903","350752","355681","360974","366724","372955","379677","386860","394437","402413","410832","419682","428996","438812","449186","460198","471851","484105","496929","510365","524470","539316","554965","571412","588744","607100","626418","646679","667934","690305","713941","738903","765288","793258","823039","854857","888670","924237","961372","1000174","1040614","1082486","1125185","1166762","1205425","1240618","1272870","1303743","1334534","1365646","1397191","",
"United Kingdom","GBR","Population ages 15-64, total","SP.POP.1564.TO","34016266","34243002","34556057","34811820","34943932","35005008","35015160","35014507","35012069","35005217","34993908","35003979","35038760","35087109","35135244","35206853","35328740","35482007","35654216","35855496","36065048","36259976","36469549","36721189","36946981","37083251","37177914","37249244","37291007","37330075","37357165","37365340","37360523","37377462","37449814","37564330","37687892","37814737","37976019","38179615","38411614","38661576","38933315","39224731","39543896","39917314","40315048","40682733","40985517","41224543","41444114","41607173","41663167","41710813","41827620","41987013","42139473","42264767","42381437","42504702","42589149","42700322","",
"Georgia","GEO","Population ages 15-64, total","SP.POP.1564.TO","2327147","2348647","2374946","2405562","2438549","2472950","2492591","2496319","2501716","2514241","2543880","2587520","2630850","2671255","2712238","2750639","2788437","2825004","2857665","2892235","2928024","2962160","2996474","3030909","3062641","3093316","3123875","3152167","3184535","3189429","3176965","3182312","3188313","3193116","3127388","3001130","2888749","2796221","2730520","2682418","2640414","2608799","2593527","2582030","2571833","2564223","2562225","2566243","2579752","2576752","2570644","2553596","2530351","2511750","2497452","2483570","2466368","2449123","2432367","2414168","2404553","2386451","",
"Ghana","GHA","Population ages 15-64, total","SP.POP.1564.TO","3597798","3664503","3714399","3771672","3839178","3913330","3992054","4077436","4169111","4268974","4383614","4514264","4657650","4813269","4979699","5155356","5340033","5534592","5736726","5940864","6141951","6339493","6538602","6740489","6895872","7005431","7120814","7254806","7418739","7609833","7819508","8035181","8268985","8527123","8795742","9077060","9370634","9687166","10029789","10374839","10722997","11099866","11501424","11904276","12306846","12710515","13116164","13528348","13942987","14352729","14746366","15130695","15521628","15920252","16326827","16746083","17187227","17640373","18086170","18529159","18990581","19459598","",
"Gibraltar","GIB","Population ages 15-64, total","SP.POP.1564.TO","14392","14505","14722","15050","15415","15773","16120","16473","16843","17208","17518","17700","17798","17911","18034","18174","18324","18444","18555","18682","18813","18930","18956","18879","18776","18673","18573","18468","18350","18242","18139","18043","18032","18065","18078","18103","18139","18179","18198","18213","18244","18287","18434","18671","18908","19162","19487","19875","20238","20536","20716","20861","21086","21167","21057","20942","20824","20716","20636","20573","20517","20407","",
"Guinea","GIN","Population ages 15-64, total","SP.POP.1564.TO","1991987","2025295","2058445","2090879","2120165","2152780","2191922","2232029","2273191","2314288","2353585","2390253","2424357","2456451","2486671","2515169","2542430","2569176","2596869","2627486","2662656","2703145","2749122","2800144","2856474","2919191","2988319","3062836","3140590","3218155","3326055","3456654","3561965","3665824","3771158","3873199","3980772","4040152","4092812","4177339","4245301","4269152","4318738","4428107","4533974","4631181","4738770","4869868","5014357","5163950","5318008","5479636","5647203","5818161","5997939","6186374","6378376","6572997","6772407","6981137","7197314","7416945","",
"Gambia, The","GMB","Population ages 15-64, total","SP.POP.1564.TO","225359","232349","239266","245755","251602","257366","263495","270035","277018","284315","291916","299843","308107","316716","324641","331940","339714","347967","356671","365901","375680","385683","396226","407656","421059","436550","452911","470187","488499","507882","528286","549679","571383","591762","610174","627882","646131","665178","685034","705856","727657","750389","774011","798059","822560","848143","875201","903715","933420","964026","995322","1027703","1061670","1097397","1134620","1172681","1211587","1251435","1292545","1335296","1380166","1427172","",
"Guinea-Bissau","GNB","Population ages 15-64, total","SP.POP.1564.TO","337110","338265","338860","338044","328214","312838","303806","304796","312384","314982","317256","318906","319531","325409","336606","352859","368897","384753","400711","411600","415824","418591","421430","424545","428162","432417","437371","443020","449376","456453","464229","476575","494956","515538","535829","554273","571161","587528","603632","619938","637323","655711","674576","693780","713324","732939","752807","773690","795627","818596","842640","867705","893849","920895","948590","976995","1006203","1036446","1067845","1100192","1133245","1166906","",
"Equatorial Guinea","GNQ","Population ages 15-64, total","SP.POP.1564.TO","149861","152029","154418","157032","160246","164053","168060","172208","176254","177969","176346","173006","168872","164378","159765","155198","150547","147405","146632","147819","152023","159376","169035","181969","196657","209782","220922","230305","238717","246860","255027","263388","272079","281218","291015","301668","313227","325717","339129","353729","370764","390561","412433","436204","461616","488320","515939","544195","572947","602134","631716","662026","692965","723959","754625","784583","813581","841955","870572","900257","925351","949390","",
"Greece","GRC","Population ages 15-64, total","SP.POP.1564.TO","5444876","5480708","5507858","5522114","5532975","5543158","5562575","5585940","5603478","5610240","5613357","5630134","5659115","5675682","5685081","5723161","5795753","5859737","5930916","6007439","6079066","6157370","6228922","6304494","6377993","6447923","6514337","6577693","6638578","6707163","6810393","6920739","6997746","7059651","7116272","7173674","7226074","7274950","7323934","7355477","7381435","7407059","7414777","7410994","7406506","7400093","7397524","7401422","7402118","7391000","7360393","7304091","7224390","7140124","7065107","6995156","6942178","6905510","6872299","6845559","6808717","6749900","",
"Grenada","GRD","Population ages 15-64, total","SP.POP.1564.TO","44266","44576","44812","45019","45201","45349","45469","45570","45688","45862","46380","47291","48246","49103","49842","50455","50909","51191","51317","51296","51355","52107","53555","55063","56328","57138","57311","56948","56337","55822","55626","56136","57066","57815","58428","59051","59662","60273","61006","61817","62694","63752","64981","66426","68018","69543","70972","72287","73486","74573","75552","76423","77242","78046","78808","79532","80116","80569","80988","81375","81841","82348","",
"Greenland","GRL","Population ages 15-64, total","SP.POP.1564.TO","17630","18147","18721","19318","19774","20424","21098","22035","23060","24098","25148","25902","26959","27896","28810","29596","30499","31144","31751","32677","33741","34968","35935","36864","37640","38183","38440","38788","39103","39213","39118","38728","38301","37951","37894","37940","37951","37986","38051","38089","38260","38514","38863","39143","39408","39595","39647","39641","39599","39674","40171","40266","40300","40135","40035","39905","39932","39858","39645","39632","39520","39461","",
"Guatemala","GTM","Population ages 15-64, total","SP.POP.1564.TO","2111023","2171071","2235516","2304496","2376074","2448028","2520524","2593986","2667938","2741029","2812687","2881898","2949110","3015339","3084436","3156436","3228543","3301362","3375975","3454711","3538166","3626504","3714946","3805672","3906221","4014530","4127899","4244956","4365593","4490584","4620845","4754359","4889759","5027247","5166541","5309087","5454851","5604383","5761425","5924679","6092976","6263977","6440593","6623616","6816308","7016090","7221387","7432234","7648147","7869137","8095003","8325805","8556652","8789380","9021176","9250086","9480125","9710165","9937399","10163685","10396683","10637104","",
"Guam","GUM","Population ages 15-64, total","SP.POP.1564.TO","43206","43938","44906","46041","47220","48298","49220","49999","50701","51401","52337","53653","55205","56909","58722","60565","62365","64099","65818","67517","69287","71238","73341","75585","78004","80581","83166","85647","87981","90109","91700","92815","93892","95020","96212","97454","98694","99946","101220","102499","103493","104090","104575","105064","105626","106274","106959","107678","108375","108957","109228","109193","109032","108761","108388","107926","107393","106807","106178","105512","105501","106149","",
"Guyana","GUY","Population ages 15-64, total","SP.POP.1564.TO","283642","290312","297192","304223","311234","317898","324056","329736","335108","340304","345338","351041","357592","364521","371966","379926","388380","397122","405777","413762","420481","426771","432886","437941","441893","444730","446476","447228","447069","446060","444320","444100","445861","447836","449697","451131","452095","452632","452871","452948","452948","453029","453374","454616","456729","459072","461873","464973","467825","470312","472354","473817","477069","481469","484828","488012","490949","493593","512112","522162","518827","523956","",
"High income","HIC","Population ages 15-64, total","SP.POP.1564.TO","487263114","492261256","498855365","505937288","512586849","518594858","524914462","531300844","537414196","543909961","550463036","558253460","565266383","572253239","579266027","586282837","593118122","599931070","606970781","614420086","622023427","629778644","637516636","645397072","652509921","658637206","664467544","670167613","675436028","680929307","686371145","692173790","697892397","703387653","708640688","713810291","719197921","724510002","729694390","734779127","739708187","744470184","749321630","754382178","759585392","764951181","771104229","777709290","784087533","789368863","793763256","795863321","797725263","799128213","800627963","802501918","804215086","805233764","806488088","807154799","807511910","804636730","",
"Hong Kong SAR, China","HKG","Population ages 15-64, total","SP.POP.1564.TO","1755824","1765507","1831705","1895375","1947195","2007909","2038117","2106886","2174238","2238421","2330002","2420191","2506201","2619397","2746887","2843519","2922332","3007456","3106598","3323719","3447985","3550921","3617128","3680857","3724400","3769388","3825315","3880348","3931146","3988885","4014067","4054458","4093657","4170685","4273792","4368025","4574000","4619843","4667576","4724843","4783754","4832493","4862412","4865989","4925690","4974899","5035395","5101650","5149615","5176003","5228958","5270246","5314802","5307952","5309630","5315516","5299307","5281200","5264190","5241156","5161591","5057443","",
"Honduras","HND","Population ages 15-64, total","SP.POP.1564.TO","1037147","1060854","1086147","1113706","1143399","1175550","1209885","1245746","1283327","1322681","1363746","1406614","1451413","1497482","1544234","1592962","1643830","1695856","1749258","1804466","1861692","1920818","1981732","2044631","2109429","2176001","2244820","2316220","2390977","2469956","2553746","2642541","2735588","2832575","2933611","3038664","3147401","3259283","3372058","3487755","3608503","3732415","3859466","3989553","4123293","4261269","4403198","4548746","4697542","4849110","5002497","5157147","5312863","5469835","5629004","5788894","5947582","6104579","6259340","6411659","6560498","6704427","",
"Heavily indebted poor countries (HIPC)","HPC","Population ages 15-64, total","SP.POP.1564.TO","87947993","89910985","91940362","93991040","96078720","98277162","100578868","102978858","105493608","108078745","110729773","113424238","116104839","118927153","122000708","125190873","128430700","131667884","135217454","138905220","141982917","144784624","148163295","152041661","156071855","160147054","164239625","168512834","172959223","177623385","182255308","187047550","192723055","198921700","205221944","211586532","217718608","223757897","230194411","237044865","243895911","250992924","258945201","267367187","275751861","284434522","293449890","302268633","311462089","321288897","331176443","341488990","352217944","363292130","375170920","387440143","400239417","413747128","427431414","441322954","455725535","470419265","",
"Croatia","HRV","Population ages 15-64, total","SP.POP.1564.TO","2716910","2732641","2754388","2780441","2807160","2833474","2859324","2884891","2912238","2939959","2963684","2982983","2997812","3009281","3020179","3031897","3044986","3057349","3068561","3078027","3090637","3117083","3153597","3186800","3209067","3221843","3232126","3243254","3253455","3261701","3267916","3202606","3119741","3137946","3177520","3149375","3092978","3067319","3056471","3035919","3000132","2881412","2878818","2877977","2877134","2878105","2876743","2874124","2872102","2870349","2869698","2863337","2851839","2838041","2816771","2781825","2750258","2702875","2661812","2628491","2600083","2491132","",
"Haiti","HTI","Population ages 15-64, total","SP.POP.1564.TO","2208145","2246055","2282176","2314411","2347062","2383965","2422467","2462462","2504256","2547782","2593271","2640705","2689384","2739324","2790724","2843165","2896544","2950833","3006056","3062271","3118807","3175622","3233092","3291182","3350197","3410386","3471893","3534767","3599191","3666165","3736795","3811546","3890879","3974634","4062404","4154324","4250761","4351629","4456006","4563884","4675906","4791421","4910149","5032587","5157689","5286235","5416273","5545149","5673573","5801444","5905094","6007759","6134541","6262946","6390709","6517081","6641266","6761882","6880319","6997837","7114696","7229380","",
"Hungary","HUN","Population ages 15-64, total","SP.POP.1564.TO","6554481","6579306","6609546","6648032","6689207","6729896","6770435","6808006","6852833","6920506","6990499","7038876","7063045","7068817","7063150","7049622","7031747","7004539","6972988","6939765","6924753","6943509","6978904","7021285","7041032","7029746","7009043","6988717","6974844","6919448","6888219","6922748","6950474","6969298","6979847","6982677","6982417","6980861","6972827","6963797","6961575","6966362","6963235","6954489","6950722","6945793","6941896","6932247","6915646","6895853","6874888","6849382","6794920","6747076","6691117","6636130","6577390","6524984","6482401","6433226","6371286","6314017","",
"IBRD only","IBD","Population ages 15-64, total","SP.POP.1564.TO","1073873634","1084946512","1101389868","1120810916","1141692203","1166089527","1193177391","1222423643","1252970229","1284309564","1317520969","1351332037","1385718782","1420169721","1451851850","1482144002","1512573670","1547374782","1590074162","1634017744","1676521307","1719756708","1762846749","1807482660","1853885260","1900234132","1946604571","1992065040","2037070923","2080520414","2121703422","2162406753","2202284810","2241190080","2281689253","2324324810","2369032030","2416502244","2464244282","2511196797","2558075691","2605705480","2654269057","2702410095","2750398665","2798766782","2843969203","2885128690","2925199360","2964083101","3001354068","3037553366","3072561462","3106546372","3138496225","3168080222","3195740256","3220691677","3243274442","3265136104","3286183804","3306056734","",
"IDA & IBRD total","IBT","Population ages 15-64, total","SP.POP.1564.TO","1288061996","1303843977","1325111523","1349410769","1375258765","1404903390","1437514999","1472535016","1509143974","1546734756","1586220638","1625889824","1666342664","1707695261","1746739389","1784657060","1822835419","1865682285","1916999611","1970028278","2021808869","2074520334","2127573544","2182372766","2238889222","2295754978","2353044722","2409770315","2466331114","2521664698","2574932012","2628020589","2680772659","2733274858","2788136136","2845593828","2905323678","2968034852","3031694551","3095122605","3159091751","3224302371","3290592017","3356539520","3422575014","3489351669","3553440866","3613702831","3672730048","3731133952","3789071710","3846345404","3901715706","3955411307","4007428752","4057846302","4107604250","4156016965","4203012272","4250152781","4297672871","4344780964","",
"IDA total","IDA","Population ages 15-64, total","SP.POP.1564.TO","214188362","218897465","223721655","228599853","233566562","238813863","244337608","250111373","256173745","262425192","268699669","274557787","280623882","287525540","294887539","302513058","310261749","318307503","326925449","336010534","345287562","354763626","364726795","374890106","385003962","395520846","406440151","417705275","429260191","441144284","453228590","465613836","478487849","492084778","506446883","521269018","536291648","551532608","567450269","583925808","601016060","618596891","636322960","654129425","672176349","690584887","709471663","728574141","747530688","767050851","787717642","808792038","829154244","848864935","868932527","889766080","911863994","935325288","959737830","985016677","1011489067","1038724230","",
"IDA blend","IDB","Population ages 15-64, total","SP.POP.1564.TO","66022503","67410598","68796475","70200534","71609303","73091241","74673963","76335344","78096377","79968243","81943175","83935872","86007515","88265572","90683805","93284945","96046286","98964257","101989191","105251058","109289021","113698442","117707222","121197839","124434667","128019886","131921926","135941836","140077590","144291000","148602996","153010432","156955752","161013630","165646242","170597341","175970028","181521847","187272490","193154806","199588289","206243100","212250080","217989085","224022156","230139958","236383070","242843700","249432859","256273835","263530455","270661099","277165049","283374547","289623237","295851679","302085472","308817330","316074049","323583247","331601188","340066889","",
"Indonesia","IDN","Population ages 15-64, total","SP.POP.1564.TO","51090563","52191574","53288198","54374968","55478883","56413917","57294217","58388399","59666537","61104815","62645641","64276786","65998903","67808212","69703945","71689556","73760576","75911785","78141743","80452186","82848012","85329136","87885703","90498256","93158280","95862318","98595030","101343772","104111042","106884666","109665100","112454577","115250272","118073065","120920910","123781835","126640453","129500687","132347103","135137903","137812628","140342251","142797679","145232431","147591553","149892735","152230961","154568569","156871861","159186119","161537956","163928210","166359505","168784459","171140668","173432827","175658667","177789493","179835745","181816710","183698630","185451041","",
"IDA only","IDX","Population ages 15-64, total","SP.POP.1564.TO","148165859","151486867","154925180","158399319","161957259","165722622","169663645","173776029","178077368","182456949","186756494","190621915","194616367","199259968","204203734","209228113","214215463","219343246","224936258","230759476","235998541","241065184","247019573","253692267","260569295","267500960","274518225","281763439","289182601","296853284","304625594","312603404","321532097","331071148","340800641","350671677","360321620","370010761","380177779","390771002","401427771","412353791","424072880","436140340","448154193","460444929","473088593","485730441","498097829","510777016","524187187","538130939","551989195","565490388","579309290","593914401","609778522","626507958","643663781","661433430","679887879","698657341","",
"Isle of Man","IMN","Population ages 15-64, total","SP.POP.1564.TO","30443","30095","30268","30545","30754","30931","31257","31791","32366","32899","33405","33850","34220","34577","34947","35360","35836","36382","36994","37652","38370","38902","39160","39379","39512","39562","39938","40767","41727","42659","43545","44207","44579","44884","45238","45624","46155","46892","47683","48460","49244","49949","50525","51090","51682","52301","52948","53558","54126","54652","55127","55195","54748","54210","53723","53218","52883","52822","52850","52897","52949","53136","",
"India","IND","Population ages 15-64, total","SP.POP.1564.TO","250572490","254983160","259461462","264033144","269239453","275095446","281128542","287440562","294131776","301154377","308479482","315989498","323685090","331640545","339752276","348039335","356475048","365254332","374467006","383945578","393699476","403630682","413737921","424166130","434850151","445720916","456823486","468194817","479936444","492063295","504451116","516954044","529565821","542339649","555426168","568890441","582689001","596800684","611160335","625784989","640617507","655697139","670914857","686160442","701561063","716911600","732180068","747505065","762763594","777995638","793438411","809037482","824603950","840060464","854999441","869459756","884115112","898694113","912553718","925771433","938586445","950245567","",
"Not classified","INX","Population ages 15-64, total","SP.POP.1564.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Population ages 15-64, total","SP.POP.1564.TO","1633132","1630597","1643895","1659508","1665062","1661110","1662595","1672755","1683632","1695153","1707872","1726744","1755721","1788124","1820712","1852727","1882535","1911066","1943980","1976123","2003242","2031002","2056220","2078538","2099623","2112790","2124618","2134971","2135549","2139005","2157350","2188713","2222789","2254521","2286474","2323663","2367563","2414388","2459420","2504479","2553492","2609285","2666451","2718146","2774986","2847567","2942068","3036843","3088703","3095102","3080449","3063271","3051045","3047390","3058075","3080857","3110739","3141774","3178909","3222077","3254350","3284531","",
"Iran, Islamic Rep.","IRN","Population ages 15-64, total","SP.POP.1564.TO","11268938","11491544","11747866","12036090","12390691","12803112","13218122","13625099","14032674","14457919","14914534","15392152","15894181","16433675","17003548","17593867","18157919","18719162","19313847","19928198","20572424","21759358","22952640","23643725","24377077","25132178","25899617","26672115","27435168","28230197","29647417","31186623","32116831","32332248","32628017","33642030","34804652","36186326","37769450","39430433","41162325","42941267","44272423","45550105","47203217","48811929","50340766","51724681","52921528","53938357","54810078","55456569","55967397","56499437","57117527","57861740","58488654","58960922","59397335","59806077","60142828","60503472","",
"Iraq","IRQ","Population ages 15-64, total","SP.POP.1564.TO","4038385","4121579","4204485","4294353","4391015","4489267","4594864","4715698","4849798","4988469","5120335","5244930","5353421","5447596","5553554","5670965","5806312","5989624","6210527","6434831","6663963","6889049","7109841","7354691","7625149","7854679","8099133","8375336","8622271","8907976","9074821","9221657","9544133","10056842","10590970","10996678","11400229","11805005","12225884","12674906","13149937","13621641","14115677","14605076","15085903","15605017","15792549","15738850","16130343","16807861","17425807","18103209","18987328","19954180","20732966","21389835","22022859","22655700","23326516","24012914","24730459","25453771","",
"Iceland","ISL","Population ages 15-64, total","SP.POP.1564.TO","100188","101829","103588","105462","107530","109734","112023","114312","116523","118367","119772","121632","124350","127055","129710","132496","134721","136567","138589","140734","142856","145210","147785","150086","152035","153620","155066","157360","160583","162893","164125","166135","168074","169407","170907","172101","173359","175231","177709","180394","183208","185885","187806","189650","192104","196515","203084","209875","214386","214379","212920","212873","213391","214817","216736","218787","222056","228127","235299","240991","244499","247524","",
"Israel","ISR","Population ages 15-64, total","SP.POP.1564.TO","1267585","1310098","1377580","1433213","1495683","1552500","1595375","1669922","1708668","1753262","1807334","1856923","1895970","1964514","2012297","2048028","2082830","2119283","2157396","2209418","2262813","2310757","2357958","2403841","2436966","2484097","2530635","2579802","2629708","2683880","2779983","2966308","3084982","3181689","3278099","3379904","3480986","3579505","3675761","3784134","3896240","3997544","4083292","4160384","4238298","4318656","4401929","4484313","4563986","4668139","4742275","4814219","4881144","4951429","5029304","5108443","5183981","5262154","5348879","5439187","5525096","5609037","",
"Italy","ITA","Population ages 15-64, total","SP.POP.1564.TO","32869781","33045989","33310686","33607375","33871314","34082042","34244632","34360674","34447405","34513051","34569182","34621413","34717690","34864065","35019034","35203501","35402275","35600015","35809874","36058794","36395980","36780294","37171841","37586542","37971641","38205166","38335343","38472953","38602014","38733903","38855827","39064138","39201752","39161042","39095158","38977750","38847942","38744783","38637019","38513718","38388464","38273154","38184023","38224559","38343139","38356918","38318239","38435856","38648892","38762126","38830477","38780536","38703235","38985081","39180526","39023708","38880651","38770686","38658939","38153861","37904109","37633815","",
